tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0044706	movie	High Noon	High Noon	0	1952	\N	85	Drama,Thriller,Western
tt0027996	movie	Mr. Deeds Goes to Town	Mr. Deeds Goes to Town	0	1936	\N	115	Comedy,Drama,Romance
tt0035140	movie	Now, Voyager	Now, Voyager	0	1942	\N	117	Drama,Romance
tt0042192	movie	All About Eve	All About Eve	0	1950	\N	138	Drama
tt0031210	movie	Dark Victory	Dark Victory	0	1939	\N	104	Drama,Romance
tt0056687	movie	What Ever Happened to Baby Jane?	What Ever Happened to Baby Jane?	0	1962	\N	134	Drama,Horror,Thriller
tt0048317	movie	Love Me or Leave Me	Love Me or Leave Me	0	1955	\N	122	Biography,Drama,Music
tt0045591	movie	Calamity Jane	Calamity Jane	0	1953	\N	101	Musical,Romance,Western
tt0053172	movie	Pillow Talk	Pillow Talk	0	1959	\N	102	Comedy,Romance
tt0049470	movie	The Man Who Knew Too Much	The Man Who Knew Too Much	0	1956	\N	120	Drama,Thriller
tt0040806	movie	The Snake Pit	The Snake Pit	0	1948	\N	108	Drama,Mystery
tt0029843	movie	The Adventures of Robin Hood	The Adventures of Robin Hood	0	1938	\N	102	Action,Adventure,Romance
tt0041452	movie	The Heiress	The Heiress	0	1949	\N	115	Drama,Romance
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	\N	238	Drama,History,Romance
tt0049261	movie	Giant	Giant	0	1956	\N	201	Drama,Western
tt0048545	movie	Rebel Without a Cause	Rebel Without a Cause	0	1955	\N	111	Drama
tt0048028	movie	East of Eden	East of Eden	0	1955	\N	118	Drama
tt0039123	tvSeries	Kraft Theatre	Kraft Television Theatre	0	1947	1958	60	Drama
tt0069946	movie	The Day of the Dolphin	The Day of the Dolphin	0	1973	\N	104	Drama,Sci-Fi,Thriller
tt8847712	movie	The French Dispatch	The French Dispatch	0	2021	\N	107	Comedy,Drama,Romance
tt0096320	movie	Twins	Twins	0	1988	\N	107	Comedy,Crime
tt0091763	movie	Platoon	Platoon	0	1986	\N	120	Drama,War
tt0021156	movie	Morocco	Morocco	0	1930	\N	92	Drama,Romance
tt0055031	movie	Judgment at Nuremberg	Judgment at Nuremberg	0	1961	\N	179	Drama,War
tt0052311	movie	Touch of Evil	Touch of Evil	0	1958	\N	95	Crime,Drama,Film-Noir
tt0051201	movie	Witness for the Prosecution	Witness for the Prosecution	0	1957	\N	116	Crime,Drama,Mystery
tt0080736	movie	The Final Countdown	The Final Countdown	0	1980	\N	103	Action,Adventure,Sci-Fi
tt0054331	movie	Spartacus	Spartacus	0	1960	\N	197	Adventure,Biography,Drama
tt0049456	movie	Lust for Life	Lust for Life	0	1956	\N	122	Biography,Drama
tt0043338	movie	Ace in the Hole	Ace in the Hole	0	1951	\N	111	Drama,Film-Noir
tt0050783	movie	Nights of Cabiria	Le notti di Cabiria	0	1957	\N	110	Drama
tt0056801	movie	8½	8½	0	1963	\N	138	Drama
tt0053779	movie	La Dolce Vita	La dolce vita	0	1960	\N	174	Comedy,Drama
tt0071129	movie	Amarcord	Amarcord	0	1973	\N	123	Comedy,Drama
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	Crime,Drama
tt0032551	movie	The Grapes of Wrath	The Grapes of Wrath	0	1940	\N	129	Drama
tt0051207	movie	The Wrong Man	The Wrong Man	0	1956	\N	105	Drama,Film-Noir
tt0082846	movie	On Golden Pond	On Golden Pond	0	1981	\N	109	Drama
